AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2019-20,40,5.7,5.3,5.2,16.00,2714.00,52564.00,> 100%
National,,All,2019-20,41,5.7,5.4,5.3,16.00,2783.00,53090.00,> 100%
National,,All,2019-20,42,5.8,5.5,5.5,18.00,2992.00,54338.00,> 100%
National,,All,2019-20,43,5.9,5.6,5.6,30.00,2997.00,54049.00,> 100%
National,,All,2019-20,44,6,5.7,5.5,31.00,2925.00,54087.00,> 100%
National,,All,2019-20,45,6.2,5.8,5.6,31.00,3082.00,55700.00,> 100%
National,,All,2019-20,46,6.3,5.9,5.6,39.00,3106.00,55886.00,> 100%
National,,All,2019-20,47,6.4,6,5.5,50.00,3016.00,56199.00,> 100%
National,,All,2019-20,48,6.5,6.2,5.5,66.00,2998.00,55465.00,> 100%
National,,All,2019-20,49,6.6,6.3,6,100.00,3327.00,57303.00,> 100%
National,,All,2019-20,50,6.7,6.4,6.2,111.00,3486.00,57658.00,> 100%
National,,All,2019-20,51,6.8,6.5,6.1,129.00,3389.00,57424.00,> 100%
National,,All,2019-20,52,6.9,6.6,6.4,203.00,3537.00,58458.00,> 100%
National,,All,2019-20,1,7,6.7,7.5,428.00,4083.00,59949.00,> 100%
National,,All,2019-20,2,7.1,6.7,7.6,470.00,4125.00,60440.00,> 100%
National,,All,2019-20,3,7.2,6.8,7.6,463.00,4035.00,59013.00,> 100%
National,,All,2019-20,4,7.2,6.9,7.5,494.00,3882.00,58632.00,> 100%
National,,All,2019-20,5,7.3,6.9,7.3,478.00,3786.00,58430.00,> 100%
National,,All,2019-20,6,7.3,7,7.3,519.00,3789.00,59158.00,> 100%
National,,All,2019-20,7,7.3,7,7.5,557.00,3813.00,58573.00,> 100%
National,,All,2019-20,8,7.3,7,7.3,564.00,3690.00,58576.00,> 100%
National,,All,2019-20,9,7.3,7,7.6,651.00,3815.00,59019.00,> 100%
National,,All,2019-20,10,7.3,7,7.7,630.00,3947.00,59356.00,> 100%
National,,All,2019-20,11,7.3,6.9,7.8,619.00,3947.00,58225.00,> 100%
National,,All,2019-20,12,7.2,6.9,8.6,559.00,4519.00,58881.00,> 100%
National,,All,2019-20,13,7.1,6.8,10.5,441.00,6143.00,62712.00,> 100%
National,,All,2019-20,14,7.1,6.7,14.4,478.00,9885.00,71957.00,> 100%
National,,All,2019-20,15,7,6.7,15.8,473.00,11951.00,78702.00,> 100%
National,,All,2019-20,16,6.9,6.6,15.2,265.00,11359.00,76420.00,> 100%
National,,All,2019-20,17,6.8,6.5,14.3,143.00,10326.00,73461.00,> 100%
National,,All,2019-20,18,6.7,6.4,13,65.00,8895.00,68851.00,> 100%
National,,All,2019-20,19,6.6,6.3,11.8,47.00,7800.00,66434.00,> 100%
National,,All,2019-20,20,6.5,6.2,10.5,21.00,6721.00,64087.00,> 100%
National,,All,2019-20,21,6.4,6,9.6,24.00,5835.00,61162.00,> 100%
National,,All,2019-20,22,6.3,5.9,8.8,12.00,5217.00,59209.00,> 100%
National,,All,2019-20,23,6.2,5.8,8.3,11.00,4843.00,58329.00,> 100%
National,,All,2019-20,24,6,5.7,7.8,11.00,4475.00,57424.00,> 100%
National,,All,2019-20,25,5.9,5.6,7.5,7.00,4309.00,57275.00,> 100%
National,,All,2019-20,26,5.9,5.5,7.3,10.00,4176.00,57633.00,> 100%
National,,All,2019-20,27,5.8,5.4,7.6,3.00,4441.00,58512.00,> 100%
National,,All,2019-20,28,5.7,5.4,8.9,9.00,5346.00,59838.00,> 100%
National,,All,2019-20,29,5.6,5.3,9.8,12.00,5919.00,60485.00,> 100%
National,,All,2019-20,30,5.6,5.2,10.5,10.00,6393.00,60893.00,> 100%
National,,All,2019-20,31,5.5,5.2,10.5,12.00,6268.00,59803.00,> 100%
National,,All,2019-20,32,5.5,5.2,10.4,8.00,6104.00,58675.00,> 100%
National,,All,2019-20,33,5.5,5.1,9.7,5.00,5417.00,55650.00,> 100%
National,,All,2019-20,34,5.5,5.1,8.7,7.00,4308.00,49718.00,> 100%
